Analyte,Units,n_samples,Min,Q_25,Med,Mean,Q_75,Max
PFBA,ng/L,3,159.9344,181.9593,203.9842,198.9015,218.3851,232.7859
PFDA,ng/L,279,0.1041,0.247,0.4154,1.4152,0.7626,106.44
PFDoA,ng/L,229,0.0015,0.0033,0.0062,0.0177,0.0124,0.6063
PFHpA,ng/L,5,121.4169,182.1254,187.9072,215.3705,205.2524,380.1507
PFHpS,ng/L,12,0.265,0.3391,0.3817,0.52,0.5095,1.5837
PFHxS,ng/L,16,2.7565,3.5459,3.8842,5.3502,4.7989,20.8494
PFNA,ng/L,79,0.851,1.1173,1.4805,2.6969,2.6774,39.7803
PFOA,ng/L,4,20.5607,24.6141,40.064,70.6995,86.1494,182.1091
PFOS,ng/L,306,0.1381,0.6618,1.8764,5.9537,4.4646,347.5248
PFOSA,ng/L,10,0.1661,0.2154,0.3562,0.3686,0.4177,0.7518
PFPeA,ng/L,1,287.8851,287.8851,287.8851,287.8851,287.8851,287.8851
PFTeDA,ng/L,140,0.0066,0.011,0.0177,0.0319,0.0316,0.5419
PFTrDA,ng/L,185,0.005,0.0073,0.011,0.0186,0.0192,0.2186
PFUnA,ng/L,288,0.0224,0.0514,0.0894,0.1638,0.144,3.757
