State,Analyte,value
AL,PFBA,NA
AL,PFPeA,NA
AL,PFHpA,NA
AL,PFOA,NA
AL,PFNA,NA
AL,PFDA,0.4394620958612086
AL,PFHxS,NA
AL,PFOS,2.100344471216147
AR,PFBA,NA
AR,PFPeA,NA
AR,PFHpA,NA
AR,PFOA,NA
AR,PFNA,1.0031549078324578
AR,PFDA,0.2346445605375527
AR,PFHxS,3.658666805479087
AR,PFOS,1.7491859036001098
AZ,PFBA,NA
AZ,PFPeA,NA
AZ,PFHpA,NA
AZ,PFOA,NA
AZ,PFNA,NA
AZ,PFDA,1.5942167670916325
AZ,PFHxS,NA
AZ,PFOS,2.7899762922464753
CA,PFBA,NA
CA,PFPeA,NA
CA,PFHpA,NA
CA,PFOA,NA
CA,PFNA,1.751485408043107
CA,PFDA,5.715721200997686
CA,PFHxS,NA
CA,PFOS,5.344638354316945
CO,PFBA,159.9344416977036
CO,PFPeA,NA
CO,PFHpA,NA
CO,PFOA,NA
CO,PFNA,1.6396394010778792
CO,PFDA,0.6153396058330767
CO,PFHxS,3.5083106353909064
CO,PFOS,4.149154853487702
CT,PFBA,NA
CT,PFPeA,NA
CT,PFHpA,NA
CT,PFOA,NA
CT,PFNA,1.0239098369600257
CT,PFDA,0.5155190243360586
CT,PFHxS,NA
CT,PFOS,2.509093484383513
DE,PFBA,NA
DE,PFPeA,NA
DE,PFHpA,NA
DE,PFOA,NA
DE,PFNA,1.432090109802198
DE,PFDA,1.211747722071891
DE,PFHxS,NA
DE,PFOS,4.439859970611044
FL,PFBA,NA
FL,PFPeA,NA
FL,PFHpA,NA
FL,PFOA,NA
FL,PFNA,1.349070393291926
FL,PFDA,2.1146152362981403
FL,PFHxS,NA
FL,PFOS,11.504324663432262
GA,PFBA,NA
GA,PFPeA,NA
GA,PFHpA,NA
GA,PFOA,NA
GA,PFNA,1.400957716110846
GA,PFDA,0.6887861875365681
GA,PFHxS,4.360328932557269
GA,PFOS,19.572325252172842
IA,PFBA,NA
IA,PFPeA,NA
IA,PFHpA,NA
IA,PFOA,NA
IA,PFNA,1.2107041991081386
IA,PFDA,0.35712997433203686
IA,PFHxS,NA
IA,PFOS,1.5558009313682866
ID,PFBA,203.98418199579993
ID,PFPeA,NA
ID,PFHpA,187.90717019697055
ID,PFOA,NA
ID,PFNA,1.5254872908762547
ID,PFDA,0.4531642579102025
ID,PFHxS,NA
ID,PFOS,0.7868858965770466
IL,PFBA,NA
IL,PFPeA,NA
IL,PFHpA,NA
IL,PFOA,NA
IL,PFNA,2.00532148570646
IL,PFDA,1.6786803360506477
IL,PFHxS,NA
IL,PFOS,8.20992360570861
IN,PFBA,NA
IN,PFPeA,NA
IN,PFHpA,NA
IN,PFOA,NA
IN,PFNA,NA
IN,PFDA,0.8348389746952196
IN,PFHxS,4.260091485831815
IN,PFOS,2.4562549494005466
KS,PFBA,NA
KS,PFPeA,NA
KS,PFHpA,NA
KS,PFOA,NA
KS,PFNA,2.5805295215276325
KS,PFDA,0.3769881802001439
KS,PFHxS,4.360328932557269
KS,PFOS,2.412380548232306
KY,PFBA,NA
KY,PFPeA,NA
KY,PFHpA,NA
KY,PFOA,NA
KY,PFNA,1.4459267292205769
