SubjectTaxonomicName,Number of Sample
Ambloplites rupestris,8
Aplodinotus grunniens,32
Catostomus commersonii,38
Coregonus artedi,10
Cyprinus carpio,48
Dorosoma cepedianum,16
Esox lucius,256
Ictalurus punctatus,48
Ictiobus bubalus,2
Ictiobus cyprinellus,22
Lepomis gibbosus,28
Lepomis macrochirus,856
Lota lota,8
Micropterus dolomieu,132
Micropterus salmoides,426
Morone chrysops,94
Morone mississippiensis,8
Moxostoma macrolepidotum,2
Notropis atherinoides,10
Oncorhynchus gorbuscha,14
Oncorhynchus kisutch,10
Oncorhynchus mykiss,30
Osmerus mordax,144
Perca flavescens,84
Pomoxis nigromaculatus,490
Salmo trutta,10
Salvelinus fontinalis,80
Salvelinus namaycush,30
Salvelinus namaycush siscowet,10
Salvelinus namaycush x Salvelinus fontinalis,2
Sander canadensis,4
Sander vitreus,366
Semotilus atromaculatus,10
